player,country,player_id
Ainool Hafizs,Malaysia,1bada9da
AS Mehmi,Greece,4612619b
M Kagoya,Uganda,7f1c495f
ML Kostic,Serbia,79e23cc5
M Sidibe,Mali,78091b14
Rizwan Butt,Bahrain,e741ed8f
JM Fields,Australia,62d34d5c
J Kominkova,Czech Republic,d5595998
E Bhonkar,Israel,1dc3330f
Shathira Jakir,Bangladesh,6b992a6f
Kaleemullah,Oman,72253b87
G Malla,Nepal,b2e1d224
D Dzimau,Malawi,1191807f
Z Shurentsetseg,Mongolia,45c6afaf
Dawlat Ahmadzai,Afghanistan,80f81038
Khalid Zahid,Sweden,5c93efb1
L Iglesias,Argentina,289a1cf1
Aayan Afzal Khan,United Arab Emirates,d2d15439
Gurpreet Singh,Italy,1a5d690f
Shorifa Khatun,Bangladesh,36d2face
G Manan,Romania,d7265622
HM Nicholls,New Zealand,03521fd3
D Muhumuza,Uganda,7636b587
A Tagilala,Fiji,c057e647
Simrah Mirza,Saudi Arabia,1f578535
L Maritz,Ireland,ac8bca8d
A las Pinas,Malta,f4775d89
NFI McCallum,Scotland,ef5cbaf6
K Govind,Seychelles,0371cc19
LN McCarthy,Ireland,77c88f05
SK Ravuri,Sweden,0398fc0f
Fida Hussain,Italy,0f85e75c
P Dlamini,Eswatini,048fcf8d
J Jagroo,Bahamas,a0a27cd4
Benjamin Constanzo,Chile,35cfc769
B de Leede,Netherlands,b3020075
SW Masakadza,Zimbabwe,2182013e
Jayasooriya,Sweden,39183970
J Goswami,India,84f1ae7f
Imran Khan (1),Pakistan,195fb6db
ED Silva,Kuwait,c1b74851
Amit Uniyal,Chile,085071f2
S Ivetic,Serbia,04ab1575
CC Dalton,Ireland,4412ede5
S Jamil,Belgium,3d6617c6
CL White,Australia,d0513f63
VJ Kingma,Netherlands,3a7ea906
L Balaji,India,b2b50355
BA Viraliliu,Vanuatu,7d85b1e9
Munim Shahriar,Bangladesh,dd98b22f
Jasdeep Singh,United States of America,5ec41cd7
DAL Paramitha,Indonesia,84f831c3
Mahnoor Mahmood,Kuwait,e38aef0d
R Slater,Scotland,8a452195
M Faisal,Scotland,48b74dc2
A Hlubi,South Africa,ccaa3434
MP O'Dowd,Netherlands,b699df47
M De Ridder,South Africa,5bb7ec70
NK Patel,United States of America,c6e10e5c
C Forbes,Swaziland,8a9e3cd0
EE Corder,Netherlands,1806d310
Wei Guo Lei,China,87c93848
Babar Azam,Pakistan,8a75e999
B Angeltti,Argentina,3cdab0cc
D Johnson,Cayman Islands,d406e303
KO Elliott,Barbados,99b274c8
TL Chatara,Zimbabwe,5bbabe59
SE Rutherford,West Indies,d014d5ac
RR Behera,United States of America,e0672ff4
DO Christian,West Indies,3b1fa4cb
S Jayakodi,Cyprus,64875d5c
P Arrighi,Argentina,79e754db
NK Bagenda,Uganda,5926e145
NJ Pius,Tanzania,f4270fc7
JO Adedeji,Nigeria,abee08c7
Amjad Gul,United Arab Emirates,87e977df
CE Coulter Reilly,Ireland,39f351c6
Akhil Kumar,Canada,2feb5b8d
Ibrahim Zadran,Afghanistan,d4550956
I Udana,Sri Lanka,ac5ae4af
B Mejaro,Lesotho,6bd0d89e
MN van Wyk,South Africa,710dd98c
TR Sadhu,India,25ca0573
Younis Khan,Pakistan,33cb3411
RP Arnold,Sri Lanka,cccdde80
SO Tikolo,Kenya,00d69fa4
Y Konate,Mali,5934e1b2
MFD Douma,Cameroon,88bcd8da
N D'souza,United Arab Emirates,af104d94
M Vijay,India,4b57e452
Sagar Pun,Nepal,3c4007d3
L Vua,Fiji,978a63d4
DJ Mitchell,New Zealand,eade4650
Rokhan Barakzai,Afghanistan,a35849be
H Hotchandani,United Arab Emirates,f537d39c
Hazrat Luqman,United Arab Emirates,fdc1ac0f
Khan Arbaaz,Lesotho,b84be97f
Rehan Ahmed,England,0ecb4de6
C Zhou,China,5b84f3bc
JA Rudolph,South Africa,42537f07
V Abuga,Kenya,1ce58052
C Beckford,United States of America,2cb0acf4
H Karunaratne,Sri Lanka,f8e27d4a
LM Jongwe,Zimbabwe,b8704508
PDRL Perera,Sri Lanka,f6b5d11a
CS Baugh,West Indies,151e8077
S Miyaji,Japan,3aca2ed5
CD Wallace,Scotland,7b5c6c0b
Dhruv Jurel,India,bcf325d2
K McKenna,Ireland,4eee57ca
T Kobeli,Lesotho,10f52b3a
JKP Ellick,St Helena,77de6cfa
R Heyns,Luxembourg,8708c072
F Banunaek,Indonesia,3c8faed4
Vaishnave Mahesh,United Arab Emirates,31c56f40
Dipanjan Dey,Sweden,fa180043
Y Anggraeni,Indonesia,acf8da70
L Ostergaard,Denmark,3a5160d9
L Botha,South Africa,60285d55
Ovais Yousof,Nigeria,cda8ef3a
C Trott,Bermuda,ae624b05
D Ferreira,South Africa,f0af99a7
Usman Waheed,Kuwait,910584a7
B Murekatete,Rwanda,2d4317da
PA Desai,Canada,fccf5309
BL Morgan,England,648bc30f
AR Balla,Cameroon,4b83e65a
M Marin,Romania,2feef01b
E Samson,Israel,d11272c4
D Bishoo,West Indies,7a80ddf2
MGMCP Gunawardene,Sri Lanka,b37b035c
GT Taylor,Bahamas,c674f722
P Gheewala,Estonia,3b22ee4e
MDN Hansika,Sri Lanka,dfc89c58
Imran Khan,Portugal,a0a32dd1
C Connolly,Australia,fe366f34
Sohel Patel,Panama,9ac70727
O Tuyisenge,Rwanda,e6a6888f
SP Gomes,Portugal,30acd4b7
Akash Babu,Qatar,fb59e5bc
CM Edwards,England,d4188b60
M Pascal,Tanzania,729c5ab5
Eva Somsel Yangzom,Bhutan,12cff704
PJ van Biljon,South Africa,4025c262
A Johnmary,France,e64c35df
Sultan Ahmed,United Arab Emirates,07687c15
Ahmad Khalid Ahmadzai,Belgium,e4ad57ea
HB Shipley,New Zealand,5426de63
CJ Anderson,New Zealand,8abdf100
Asif Iqbal,South Korea,ddcb8503
HA Jackson,France,ee40679e
B Zuiderent,Netherlands,d953ed6a
Siow Tzin Yee,Malaysia,686b7194
LPC Silva,Sri Lanka,1be70c88
A Nao,Papua New Guinea,4d1ec7eb
JS Pooranakaran,Singapore,417bde96
HMD Rasangika,Sri Lanka,d6f9dfd6
Irfan Hafejee,Panama,244009ae
N Gallagher,Canada,98c5ffef
A Soni,India,93fc8392
R Rijke,Netherlands,42e4b276
WB Rankin,England,29b89ae8
RW Chakabva,Zimbabwe,2f0d7e4a
E Kusuda-Nairn,Japan,95c5ce07
A Patmore,Japan,85119526
KD Kesuma,Indonesia,4b349dc0
Priyada Murali,Kuwait,f4b942ae
NK Tiwari,Cyprus,97f44626
J Botha,South Africa,eae9fe8a
S Namusha,Namibia,ba0e04b2
CT Mumba,Zimbabwe,28496266
Tashiba Mirza,Spain,2020d4fd
Khushdil Shah,Pakistan,fce581b5
M Dlamini,Eswatini,877a3433
CA Ingram,South Africa,c995d726
Azeem Nazir,Switzerland,9f3f532a
GJ van Rensburg,Namibia,602db3d9
AGS Gous,United States of America,d1305df0
Nur Alliah Asyqin,Malaysia,553b542b
JWN Moses,Botswana,492c17f0
HM Amla,ICC World XI,e798611a
S Tobgay,Bhutan,d7f1fe76
Habeeba Bader,Canada,18d53879
RR Saun,Costa Rica,acb6ee37
J Horrocks,Gibraltar,1c8cd1c3
Noor Ali Zadran,Afghanistan,72e46d30
SK Rana,Qatar,47884f8e
AM Samaroo,West Indies,9e6823e7
I Ntirenganya,Rwanda,e73f6c4b
AA Patil,India,7c1ba524
MGSM Fernando,Italy,658c2e71
IM Vaghela,United States of America,8d62fc14
LW Potthoff,Croatia,02b87bde
Fatima Sana,Pakistan,ea9c54de
JT Brassell,Namibia,537021f5
EL Kirkman,Austria,ecc585f0
Mohammad Asaduzzaman,Finland,11406bad
JJ Atkinson,Hong Kong,bf2d865c
O Ranedoumoun,Cameroon,71ee8c8d
Parveen Kumar,Canada,e6b3c3cc
John Bartlett,Chile,6b7f9d9d
S Mannan,Germany,41b8a051
HH Gibbs,South Africa,e1d1b294
Ghulam Ahmadi,Germany,2dfe0612
M Thurgate,Japan,98aaa3f3
Manuel Iturbe,Argentina,bddbf5ec
Shafali Verma,India,d8f59089
T Rodriguez,France,185e37e0
JM Davison,Canada,5471024e
L Sipamla,South Africa,f892fcf9
Nasum Ahmed,Bangladesh,37654b75
Rohit Kumar,Romania,43462314
R Tari,Vanuatu,c4d19735
Saqib Zulfiqar,Netherlands,5d38476c
W Perchard,Jersey,511871c6
PJ Hughes,Australia,004c9e85
TE Kane,Ireland,af28816c
J Jemison,Bahamas,ce1abd25
S Siegers,Netherlands,9a58f2c8
AE Smith,South Africa,8caf9750
Sumit Singh,Finland,6798b28e
A Nathwani,Austria,f1c4f2ea
Alice Davis,Guernsey,18e71a72
CJO Smith,Scotland,c46e9e56
EJG Morgan,England,d2a6c0e6
DE Budge,Scotland,0d37dea9
PSR Gurusinghe,Singapore,591a7004
Fathimath Malha,Maldives,0c4c27d1
G Dempsey,Ireland,940feccc
N Joshi,Oman,cfece11f
L Skatulla,Germany,920bca47
E Cleator,Isle of Man,9c94176e
Ruba Rashid,Saudi Arabia,221ba3f5
P Maruariki,Cook Islands,dee2431f
V Tafea,Samoa,611298bd
Shahil Momin,Austria,46821fbd
Manan Ali,Saudi Arabia,d0b643e1
D Ahir,Panama,424a646f
OF Smith,West Indies,23cca426
R Kanai,Japan,54a3d69f
D Kalvin,Seychelles,895ae8b6
Sandeep Goud,Bahamas,c83ef4d6
AB Barath,West Indies,d3a3e82d
N Burger,South Africa,465aa633
Ubaid Minhas,Bahrain,87493f1d
Apsari Begam,Nepal,eb765b41
ZM Tribe,Jersey,96fe3e9f
Amir Hayat,United Arab Emirates,5faa30f7
S Rengarajan,Czech Republic,d4aa6a65
L Mophakedi,Botswana,c8cdbb92
J Evans,Israel,027662be
MEK Hussey,Australia,48fd7349
R Samson,Nigeria,e63c08e9
DN Wyatt,England,a139c379
Ahmed Wardak,Germany,3daaabaa
F Malefula,Malawi,6a405883
CPPM Sadun,Cyprus,2cf2fc9e
Constanza Vergara,Chile,e712a65b
E Munkhbat,Mongolia,acaf467d
Amar Sharma,Malta,14e1fdab
T Amarmend,Mongolia,e76c8732
MS Kasprowicz,Australia,8d0ea930
Sidra Nawaz,Pakistan,ca3ded6f
C Chete,Malawi,ef4f539a
Sameer Patel,Lesotho,2bae86b6
Samanvita Vijay,Denmark,2e889952
I Chuma,Mozambique,b1021056
S Jayasinghe,Bahrain,deaa286f
SC Selman,Barbados,c29ada99
Saeed Ahmed,Sweden,63d6e16e
Regina Khan,Italy,862f4427
Lopamudra,Norway,ff4509d5
Mohammed Faraazuddin,United Arab Emirates,18ac3318
MK Thakur,Thailand,2d9451cc
W Barresi,Netherlands,0d677597
Prajna Jagdeesha,Bahrain,b79932e1
Farhan Ahmed,United Arab Emirates,927694f7
A Sharafu,United Arab Emirates,06cad4f0
Aslam Mohammad,Greece,67ae5a56
P Munorwei,Zimbabwe,c7e67ed4
Umer Imtiaz,Bahrain,7b729851
RL Blake,Romania,e2b58daf
G Kodali,United States of America,f606177e
MA Ouma,Kenya,0939c670
Virandeep Singh,Malaysia,415d30b6
SR McAnanama-Brereton,Germany,bb1be934
Sajaa Fathimath,Maldives,e793a951
B Khumalo,Botswana,33ab1f1c
DL Chahar,India,23eeb873
BCJ Cutting,ICC World XI,2e11c706
RP Burl,Zimbabwe,b08252b8
CV Harrison,Gibraltar,b0b80a99
S Vijayakumar,Singapore,44c69e2b
Jaspreet Singh,Italy,d76ab352
A Alfonso,Malawi,5088c217
Tejwinder Singh,Cyprus,ad37baac
Karweng NG,Philippines,6af3f1e6
Rayhaan Ahmed,Austria,d9de31d4
D Koralalage,Cyprus,5e6041a4
Avesh Khan,India,eef2536f
L Stubbs,Croatia,b0f332e1
Zeeshan Siddiqui,Oman,9029d54a
Aritra Dutta,Singapore,f3a5c378
H Nou,Papua New Guinea,ca90651a
E Kubwimana,Rwanda,bfc7799f
M Yousaf,Hong Kong,e2e5b178
S Murari,Costa Rica,3ed39f01
S Dharnidharka,United Arab Emirates,f8b50da3
AL Stephen,Vanuatu,49f6d023
LS Mulivai,Samoa,d6c1d6b7
Usman Mushtaq,United Arab Emirates,0e5ccbb4
H Hiri,Papua New Guinea,9dc3ea7e
Said Hakim,Belgium,4cc59a40
Mohammad Ahnaff,Qatar,9b85a13a
V Igbinedion,Nigeria,9525b9e5
A Ostergaard,Denmark,36ffe914
J Chaturanga,Bahrain,92593de0
L Grant,Scotland,49923603
Tayyab Tahir,Pakistan,431f8af4
J Miyaji,Uganda,414d8a10
Hassan Khan Mohammad,Hong Kong,a46de6e0
Abdullah Akbarjan,Austria,5de198db
Awais Ahmed,Spain,f9f857dc
CN Nation,West Indies,639000b6
CM Madsen,Denmark,f70b575c
SA Jumbe,Tanzania,91056862
Suhrawadi Shuvo,Bangladesh,8fb49ef8
Izhar Hussain,Switzerland,1bc71d98
Yang Yu Xuan,China,1d5273c9
Anshuman Rath,Hong Kong,552b228c
R Coker,Sierra Leone,3239c8a9
F Achelam,Uganda,b6b3ee6e
N Acawei,Fiji,93c8799e
Shamsur Rahman,Bangladesh,02789d88
SVE Bharathi,Germany,6a63c29c
O Thomas,West Indies,c6097d68
Muhammad Asjed,Spain,02d0c9ae
EJ Tice,Ireland,b97f21d8
RP Meredith,Australia,64775749
Y van der Westhuizen,South Africa,79e10d25
Mohammad Ashraful,Bangladesh,2bb09eb2
R Sandaruwan,Kuwait,cf6acc0d
Saif Hassan,Bangladesh,bb95564b
DR Brown,Scotland,7c70083d
NM Lyon,Australia,96a6a7ad
B Geeves,Australia,50758325
AM Blignaut,Zimbabwe,80ec5dfd
MR Swart,Netherlands,a75a78eb
Huang Zhuo,China,edbbe245
HO Karaduman,Turkey,0853d18a
JN Mohammed,West Indies,773cec26
M Valner,Estonia,b5472435
P Utseya,Zimbabwe,9de271ef
U Shahid,France,2a853aa5
Mohammad Nawaz,Pakistan,3086f7a4
S Williams,Sierra Leone,7ae1aad9
